"product_id","product_name","category","price","stock_quantity","supplier_name","supplier_city","supply_date","order_item_id","order_id","product_id-2","quantity","total_price","total_price-2"
18,"Electric Iron","Home Appliances",1500,200,"Bajaj Electricals","Kolkata","2023-05-25",21,120,18,1,1500,1500
18,"Electric Iron","Home Appliances",1500,200,"Bajaj Electricals","Kolkata","2023-05-25",21,120,18,1,1500,1500
20,"LED Bulbs","Home Appliances",250,500,"Havells India","Ahmedabad","2022-10-15",22,121,20,10,2500,2500
20,"LED Bulbs","Home Appliances",250,500,"Havells India","Ahmedabad","2022-10-15",22,121,20,10,2500,2500
12,"Fitness Tracker","Wearable Tech",5000,200,"Fitbit India","Bengaluru","2023-03-17",27,126,12,1,5000,5000
12,"Fitness Tracker","Wearable Tech",5000,200,"Fitbit India","Bengaluru","2023-03-17",27,126,12,1,5000,5000
10,"Gas Stove","Kitchen",5000,100,"Butterfly Appliances","Jaipur","2023-07-12",13,112,10,1,5000,5000
10,"Gas Stove","Kitchen",5000,100,"Butterfly Appliances","Jaipur","2023-07-12",13,112,10,1,5000,5000
16,"Electric Kettle","Kitchen",2000,160,"Philips India","Chennai","2022-08-25",18,117,16,3,6000,6000
16,"Electric Kettle","Kitchen",2000,160,"Philips India","Chennai","2022-08-25",18,117,16,3,6000,6000
11,"Bluetooth Speaker","Electronics",3000,80,"Bose India","Hyderabad","2023-02-27",2,101,11,2,6000,6000
11,"Bluetooth Speaker","Electronics",3000,80,"Bose India","Hyderabad","2023-02-27",2,101,11,2,6000,6000
19,"Induction Cooktop","Kitchen",3500,140,"Pigeon India","Bengaluru","2023-01-20",20,119,19,2,7000,7000
19,"Induction Cooktop","Kitchen",3500,140,"Pigeon India","Bengaluru","2023-01-20",20,119,19,2,7000,7000
17,"Vacuum Cleaner","Home Appliances",7000,45,"Eureka Forbes","Hyderabad","2023-07-01",19,118,17,1,7000,7000
17,"Vacuum Cleaner","Home Appliances",7000,45,"Eureka Forbes","Hyderabad","2023-07-01",19,118,17,1,7000,7000
9,"Water Purifier","Home Appliances",8000,70,"Kent RO Systems","Lucknow","2022-11-14",26,125,9,1,8000,8000
9,"Water Purifier","Home Appliances",8000,70,"Kent RO Systems","Lucknow","2022-11-14",10,109,9,1,8000,8000
9,"Water Purifier","Home Appliances",8000,70,"Kent RO Systems","Lucknow","2022-11-14",26,125,9,1,8000,8000
9,"Water Purifier","Home Appliances",8000,70,"Kent RO Systems","Lucknow","2022-11-14",10,109,9,1,8000,8000
7,"Mixer Grinder","Kitchen",3000,150,"Preethi Appliances","Pune","2023-06-18",6,105,7,3,9000,9000
7,"Mixer Grinder","Kitchen",3000,150,"Preethi Appliances","Pune","2023-06-18",6,105,7,3,9000,9000
12,"Fitness Tracker","Wearable Tech",5000,200,"Fitbit India","Bengaluru","2023-03-17",11,110,12,2,10000,10000
12,"Fitness Tracker","Wearable Tech",5000,200,"Fitbit India","Bengaluru","2023-03-17",11,110,12,2,10000,10000
5,"Microwave Oven","Kitchen",10000,60,"Samsung India","Kolkata","2023-04-01",7,106,5,1,10000,10000
